date,query,landing_page,clicks,impressions,avg_position
2026-01-01,lake james cabin rental,/lake-james-guide/,24,640,8.4
2026-01-01,linville gorge lodging,/hiking-near-shortoff-mountain/,12,390,11.2
2026-02-01,lake james lodging,/lake-james-guide/,31,720,7.9
2026-02-01,morganton weekend getaway,/plan-your-stay/,18,440,10.6
2026-03-01,lake james cabin rental,/lake-james-guide/,40,810,6.8
2026-03-01,hiking near lake james,/hiking-near-shortoff-mountain/,22,530,9.4
2026-04-01,shortoff mountain hiking lodging,/hiking-near-shortoff-mountain/,28,610,8.6
2026-04-01,lake james weather,/weather-and-lake-conditions/,35,780,7.2
2026-05-01,lake james cabin rental,/lake-james-guide/,55,990,5.9
2026-05-01,fall colors near morganton nc,/fall-color-updates/,15,360,12.1
